2025-11-13T19:37:07.375 Device 22 | Lap 1 | Lap Time — | CumulativeField 152s | Avg Lap —
2025-11-13T19:38:31.765 Device 7 | Lap 2 | Lap Time — | CumulativeField 134s | Avg Lap —
2025-11-13T19:39:12.747 Device 7 | Lap 3 | Lap Time 0:40.981 | CumulativeField 133s | Avg Lap 0:40.981
2025-11-13T19:39:48.116 Device 7 | Lap 4 | Lap Time 0:35.369 | CumulativeField 78s | Avg Lap 0:38.175
2025-11-13T19:40:20.365 Device 7 | Lap 5 | Lap Time 0:32.249 | CumulativeField 230s | Avg Lap 0:36.199
2025-11-13T19:40:52.195 Device 7 | Lap 6 | Lap Time 0:31.829 | CumulativeField 84s | Avg Lap 0:35.107
2025-11-13T19:41:22.946 Device 7 | Lap 7 | Lap Time 0:30.750 | CumulativeField 82s | Avg Lap 0:34.235
2025-11-13T19:41:36.986 Device 5 | Lap 8 | Lap Time — | CumulativeField 204s | Avg Lap —
2025-11-13T19:41:54.476 Device 7 | Lap 9 | Lap Time 0:31.530 | CumulativeField 160s | Avg Lap 0:33.784
2025-11-13T19:42:13.047 Device 5 | Lap 10 | Lap Time 0:36.061 | CumulativeField 223s | Avg Lap 0:36.061
2025-11-13T19:42:25.136 Device 7 | Lap 11 | Lap Time 0:30.660 | CumulativeField 150s | Avg Lap 0:33.338
2025-11-13T19:42:50.306 Device 5 | Lap 12 | Lap Time 0:37.259 | CumulativeField 107s | Avg Lap 0:36.660
2025-11-13T19:42:56.126 Device 7 | Lap 13 | Lap Time 0:30.990 | CumulativeField 174s | Avg Lap 0:33.044
2025-11-13T19:43:24.328 Device 5 | Lap 14 | Lap Time 0:34.022 | CumulativeField 178s | Avg Lap 0:35.780
2025-11-13T19:44:07.317 Device 5 | Lap 15 | Lap Time 0:42.988 | CumulativeField 117s | Avg Lap 0:37.582
2025-11-13T19:44:42.029 Device 5 | Lap 16 | Lap Time 0:34.712 | CumulativeField 2s | Avg Lap 0:37.008
2025-11-13T19:44:52.291 Device 26 | Lap 17 | Lap Time — | CumulativeField 4s | Avg Lap —
2025-11-13T19:45:15.719 Device 5 | Lap 18 | Lap Time 0:33.690 | CumulativeField 41s | Avg Lap 0:36.455
2025-11-13T19:45:26.250 Device 26 | Lap 19 | Lap Time 0:33.958 | CumulativeField 69s | Avg Lap 0:33.958
2025-11-13T19:45:51.300 Device 5 | Lap 20 | Lap Time 0:35.580 | CumulativeField 12s | Avg Lap 0:36.330
2025-11-13T19:45:59.640 Device 26 | Lap 21 | Lap Time 0:33.389 | CumulativeField 75s | Avg Lap 0:33.673
2025-11-13T19:46:23.550 Device 5 | Lap 22 | Lap Time 0:32.250 | CumulativeField 161s | Avg Lap 0:35.820
2025-11-13T19:46:32.730 Device 26 | Lap 23 | Lap Time 0:33.090 | CumulativeField 54s | Avg Lap 0:33.479
2025-11-13T19:46:50.310 Device 7 | Lap 24 | Lap Time 3:54.184 | CumulativeField 18s | Avg Lap 0:55.393
2025-11-13T19:46:57.390 Device 5 | Lap 25 | Lap Time 0:33.840 | CumulativeField 212s | Avg Lap 0:35.600
2025-11-13T19:47:05.941 Device 26 | Lap 26 | Lap Time 0:33.210 | CumulativeField 44s | Avg Lap 0:33.411
2025-11-13T19:47:22.500 Device 7 | Lap 27 | Lap Time 0:32.190 | CumulativeField 163s | Avg Lap 0:53.073
2025-11-13T19:47:30.391 Device 5 | Lap 28 | Lap Time 0:33.000 | CumulativeField 182s | Avg Lap 0:35.340
2025-11-13T19:47:40.441 Device 26 | Lap 29 | Lap Time 0:34.500 | CumulativeField 161s | Avg Lap 0:33.629
2025-11-13T19:47:51.901 Device 7 | Lap 30 | Lap Time 0:29.400 | CumulativeField 25s | Avg Lap 0:50.921
2025-11-13T19:48:13.981 Device 26 | Lap 31 | Lap Time 0:33.539 | CumulativeField 185s | Avg Lap 0:33.614
2025-11-13T19:48:25.801 Device 7 | Lap 32 | Lap Time 0:33.899 | CumulativeField 86s | Avg Lap 0:49.502
2025-11-13T19:48:47.371 Device 26 | Lap 33 | Lap Time 0:33.390 | CumulativeField 192s | Avg Lap 0:33.582
2025-11-13T19:48:51.631 Device 79 | Lap 34 | Lap Time — | CumulativeField 106s | Avg Lap —
2025-11-13T19:48:55.471 Device 7 | Lap 35 | Lap Time 0:29.670 | CumulativeField 234s | Avg Lap 0:47.977
2025-11-13T19:49:15.452 Device 22 | Lap 36 | Lap Time 12:08.078 | CumulativeField 182s | Avg Lap 12:08.078
2025-11-13T19:49:19.681 Device 26 | Lap 37 | Lap Time 0:32.310 | CumulativeField 92s | Avg Lap 0:33.423
2025-11-13T19:49:23.851 Device 79 | Lap 38 | Lap Time 0:32.220 | CumulativeField 253s | Avg Lap 0:32.220
2025-11-13T19:49:24.182 Device 7 | Lap 39 | Lap Time 0:28.710 | CumulativeField 31s | Avg Lap 0:46.600
2025-11-13T19:49:52.381 Device 26 | Lap 40 | Lap Time 0:32.700 | CumulativeField 30s | Avg Lap 0:33.342
2025-11-13T19:49:53.701 Device 7 | Lap 41 | Lap Time 0:29.520 | CumulativeField 162s | Avg Lap 0:45.462
2025-11-13T19:50:07.472 Device 22 | Lap 42 | Lap Time 0:52.020 | CumulativeField 3s | Avg Lap 6:30.049
2025-11-13T19:50:22.772 Device 7 | Lap 43 | Lap Time 0:29.070 | CumulativeField 247s | Avg Lap 0:44.437
2025-11-13T19:50:28.112 Device 26 | Lap 44 | Lap Time 0:35.730 | CumulativeField 17s | Avg Lap 0:33.581
2025-11-13T19:50:32.582 Device 6 | Lap 45 | Lap Time — | CumulativeField 206s | Avg Lap —
2025-11-13T19:50:50.312 Device 22 | Lap 46 | Lap Time 0:42.840 | CumulativeField 182s | Avg Lap 4:34.312
2025-11-13T19:50:51.752 Device 7 | Lap 47 | Lap Time 0:28.980 | CumulativeField 74s | Avg Lap 0:43.528
2025-11-13T19:51:20.556 Device 7 | Lap 48 | Lap Time 0:28.800 | CumulativeField 135s | Avg Lap 0:42.710
2025-11-13T19:51:23.466 Device 27 | Lap 49 | Lap Time — | CumulativeField 170s | Avg Lap —
2025-11-13T19:51:37.238 Device 6 | Lap 50 | Lap Time 1:04.651 | CumulativeField 9s | Avg Lap 1:04.651
2025-11-13T19:51:40.057 Device 79 | Lap 51 | Lap Time 2:16.201 | CumulativeField 36s | Avg Lap 1:24.210
2025-11-13T19:51:48.668 Device 7 | Lap 52 | Lap Time 0:28.110 | CumulativeField 127s | Avg Lap 0:41.941
2025-11-13T19:52:01.838 Device 27 | Lap 53 | Lap Time 0:38.370 | CumulativeField 164s | Avg Lap 0:38.370
2025-11-13T19:52:06.698 Device 22 | Lap 54 | Lap Time 1:16.380 | CumulativeField 136s | Avg Lap 3:44.829
2025-11-13T19:52:14.048 Device 79 | Lap 55 | Lap Time 0:33.990 | CumulativeField 97s | Avg Lap 1:07.470
2025-11-13T19:52:37.778 Device 27 | Lap 56 | Lap Time 0:35.939 | CumulativeField 170s | Avg Lap 0:37.154
